analysis_id,stratum,moderator,contrast,omitted_study,removed_effects,remaining_effects,remaining_studies,remaining_clusters,successful,beta,se,df,p_raw,nominal_p_lt_0_05,direction_consistent,warnings,failure_reason
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Graumann_2016,2,37,27,29,TRUE,0.41110462374425316,0.06708343404375264,2.0726452521584715,0.023487069876630892,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,He_2025,1,38,27,30,TRUE,0.47442245753818063,0.07503328479475835,2.155290158086583,0.01999010421034407,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,He_2026,1,38,27,30,TRUE,0.4569673009725573,0.07534053473953017,2.158227746291976,0.021711297103767648,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Herms_2023,1,38,27,30,TRUE,0.46077935836139505,0.08852514626731688,1.1030996204959387,0.10405301798856496,FALSE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Ignee_2010,1,38,27,30,TRUE,0.4468892263195144,0.07269231486923122,1.1395817364428502,0.08213083851029411,FALSE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Israel_2004,1,38,27,30,TRUE,0.4438930249326566,0.07223140529054498,2.128749147064291,0.021867068233871228,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Lee_2020,2,37,27,30,TRUE,0.4853451214098825,0.07311041329520318,2.137519275621139,0.018468079137915202,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Lucocq_2020,1,38,27,30,TRUE,0.4592558811580127,0.07498280865472082,2.154662270790379,0.02136560763226723,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Oon_2018,1,38,27,30,TRUE,0.47839012280179327,0.07387746881368984,2.1443221604744247,0.019279606132745746,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Park_2007,1,38,27,30,TRUE,0.4726846808269747,0.07492592058847003,2.154152934146046,0.02011001157331279,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Park_2021,4,35,27,30,TRUE,0.4562396915328394,0.07583106103639099,2.1622014993647825,0.02197729641511479,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Peard_2022,3,36,27,28,TRUE,0.4785066361774327,0.07905130007064153,2.1937924359033536,0.02093591583551375,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Pitra_2018,2,37,27,30,TRUE,0.4885000267848195,0.07186627443940473,2.1251580916593955,0.017864360896981464,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Ragel_2016,2,37,27,30,TRUE,0.4873347485925542,0.0724274999466467,2.130876163554672,0.018111287125416344,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Rocca_2016,1,38,27,30,TRUE,0.4655133396462018,0.07542349880027573,2.1587135139190563,0.020930718785932275,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Sanz_2016,1,38,27,30,TRUE,0.4614912255715733,0.07532181534368157,2.157812722825361,0.021272767243560517,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Tshering_Vogel_2021,2,37,27,30,TRUE,0.4771117130059385,0.07525685907553488,2.158104044484863,0.01981323448435351,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Yenice_2020,1,38,27,30,TRUE,0.4704063324201205,0.07557979076044871,2.1602798542747665,0.02053266696907739,TRUE,TRUE,,
IM_categories_4_5_vs_2_3,Inter-modality,No. of categories,4-5 vs 2-3,Zhong_2017,1,38,27,30,TRUE,0.4649462588624102,0.07532585265262685,2.157790195848723,0.020949877929264362,TRUE,TRUE,,
IM_modality_pair_CT_US_vs_CT_MRI,Inter-modality,Modality pair,CT-US-based vs CT-MRI,Almalki_2023,1,39,29,31,TRUE,-0.34033283778336193,0.11101685347704361,5.032593261980686,0.027687672004932398,TRUE,TRUE,,
IM_modality_pair_CT_US_vs_CT_MRI,Inter-modality,Modality pair,CT-US-based vs CT-MRI,Anshulmeena_2026,1,39,29,31,TRUE,-0.30638789927645077,0.12165866193049066,5.218979138000919,0.0512690916834903,FALSE,TRUE,,
IM_modality_pair_CT_US_vs_CT_MRI,Inter-modality,Modality pair,CT-US-based vs CT-MRI,Ascenti_2007,1,39,29,31,TRUE,-0.34284286438399414,0.10634035763465739,5.440276280601906,0.020718597070731683,TRUE,TRUE,,
IM_modality_pair_CT_US_vs_CT_MRI,Inter-modality,Modality pair,CT-US-based vs CT-MRI,Bielsa_Gali_1999,1,39,29,31,TRUE,-0.3201781106859965,0.1169477958760972,5.205692820748628,0.03919550203910932,TRUE,TRUE,,
IM_modality_pair_CT_US_vs_CT_MRI,Inter-modality,Modality pair,CT-US-based vs CT-MRI,Chan_2021,2,38,29,31,TRUE,-0.3382585761308826,0.11228798652488976,4.9872681267663,0.029768983058591745,TRUE,TRUE,,
IM_modality_pair_CT_US_vs_CT_MRI,Inter-modality,Modality pair,CT-US-based vs CT-MRI,Clevert_2008,1,39,29,31,TRUE,-0.3385488551206077,0.10902860989345965,5.2724044113483295,0.02487573801848884,TRUE,TRUE,,
IM_modality_pair_CT_US_vs_CT_MRI,Inter-modality,Modality pair,CT-US-based vs CT-MRI,Como_2021,1,39,29,31,TRUE,-0.31873266468191536,0.11738653089350447,5.2251685988056105,0.040133902512008046,TRUE,TRUE,,
IM_modality_pair_CT_US_vs_CT_MRI,Inter-modality,Modality pair,CT-US-based vs CT-MRI,Das_2023,1,39,29,31,TRUE,-0.33412356343140537,0.11164782487308705,5.153527087141883,0.029230290637374735,TRUE,TRUE,,
IM_modality_pair_CT_US_vs_CT_MRI,Inter-modality,Modality pair,CT-US-based vs CT-MRI,Ferreira_2016,1,39,29,31,TRUE,-0.34421904110581925,0.10818192440920577,5.170706076782383,0.023368924104433194,TRUE,TRUE,,
